,Returns,Volatility,P/E ratio,Seasonality_MoM_February,Seasonality_MoM_March,Seasonality_MoM_April,Seasonality_MoM_May,Seasonality_MoM_June,Seasonality_MoM_July,Seasonality_MoM_August,Seasonality_MoM_September,Seasonality_MoM_October,Seasonality_MoM_November,Seasonality_MoM_December,Average_MA_20_Q2_2021,Average_MA_20_Q3_2021,Average_MA_20_Q4_2021,Average_MA_20_Q1_2022,Average_MA_20_Q2_2022,Average_MA_20_Q3_2022,Average_MA_20_Q4_2022,Average_MA_20_Q1_2023,Average_MA_20_Q2_2023,Average_MA_20_Q3_2023,Average_MA_20_Q4_2023,Average_MA_20_Q1_2024,Average_MA_20_Q2_2024,Average_MA_20_Q3_2024,Average_MA_20_Q4_2024
CNPF,0.24529458121197562,0.35007380663475124,21.78050902762671,0.012502256745490103,-0.05434802574472619,0.058180534315112165,-0.03058588983234256,-0.08545077803977796,0.0564578035547918,0.031268934417807315,0.06873300624195344,0.02098077672811205,0.00937478484175136,0.020849901618102296,21.840820670051517,23.051328743507813,24.90280901179032,23.793419109,20.38931445536885,22.37728916934375,22.681648936254234,23.64793363180159,23.745472532956896,25.319275846555552,28.344122047732757,32.41536056963115,34.95519982920833,34.34271034927777,40.15519867915574
CNVRG,0.053632064385015714,0.4639471940244558,12.884107453456162,-0.07101857584900606,-0.04973255040158986,0.007297132445018728,-0.07533908657781296,0.04894855039162671,-0.018815884021715634,0.05852518771403292,0.10219015961542,-0.04700304661620058,-0.019664530088606913,0.02177815629982849,19.899793723812742,25.496456560515625,32.53612752725807,28.12466404114754,26.15201456392623,18.942988511484376,13.43297217688983,15.957564536095239,11.525401471103448,9.364757248269841,8.517566841603449,8.805904018819671,9.250342372608333,12.202486488547619,16.011788243704917
DMC,0.35867671227913095,0.31657024205738993,7.644227315180689,0.010363363123922387,0.001563468615156438,0.026120132668558727,-0.017069585573099344,-0.16376061256668029,0.037653149429820676,0.00386078772780285,0.05901800647930899,0.059653539125749666,-0.047369981804531225,0.018962450747312953,3.64356401027618,3.8715854148046875,5.032821598709678,5.439280433319672,5.895951898606557,6.468680142257813,7.084142952508475,8.527753908579365,7.920719640818966,7.55102678334127,8.001354503267242,8.898040075663934,9.89817838205,10.177323245007937,10.39594842762295
EMI,0.22952935501220983,0.2915436424033202,34.099332839140104,0.015667801926444458,-0.14634625361556086,0.03378249288812407,0.059321982280893026,-0.1396738172054458,0.03140949576004437,0.05297684690821036,0.03743517828437748,0.0007045753264827148,-0.0036911210449119825,0.008758264841344232,9.519087319619594,13.360022634859375,17.442082846016127,18.7287621359918,16.689058575631147,18.53418874033594,19.181829794144065,19.868939558380955,20.36290657825862,20.63003818729365,20.351391085551725,19.69977833277869,18.224365717766666,18.47172837418254,18.258297133368853
GLO,0.15980569565580563,0.33342175809475044,10.99227270897895,-0.06881931192502178,-0.06682812600350929,-0.012653524661895066,0.012006252929873007,-0.03654729346717012,0.0345170280704421,0.043209645020524934,0.07958971081305544,0.05060266729514651,0.0007382302120044759,-0.0012879224515274235,1483.466844157119,1774.3744762198594,2657.725375236226,2482.054845401287,2024.6627731583853,1858.422671000289,1936.2620797806949,1793.862225215365,1568.703587894362,1654.8463838692937,1624.8223903435346,1618.287912229328,1732.5326332384082,2066.395290299746,2152.0794578592627
GTCAP,0.09106824500007077,0.3212305836959628,3.818730155180895,0.08839016696906887,-0.05878282497613796,-0.019458117450696477,-0.01625879543818265,-0.009196115220690415,0.002641287970037487,-0.0037967008214758735,0.061193653666349324,-0.01914003278653742,-0.017747475897280762,-0.010895020431170965,578.9774828703323,547.6143517190937,542.8427509344193,541.1910762358852,495.9075598544836,468.9752976282109,412.4247921719407,476.3998956630635,484.3570481820776,523.4487969542539,548.2574225044569,636.7546904294836,627.6742737105917,605.3103406643334,681.7768833299508
ICT,0.38548323678802976,0.35935746326618534,16.484615039354978,0.059795783634336686,0.05578481267701019,0.08803225673725579,-0.004279003749865007,-0.1794576558095613,0.05083619651659843,0.02463877573325557,0.04317264584521374,0.018750257120336178,-0.019307069873161442,0.028135460054611316,126.71255346276816,145.80996183464845,163.10575946054837,179.12695499288523,190.52459394732787,164.04472110168751,160.56003898121187,183.33774783410317,192.00471123335345,191.45785498847619,196.6833835987069,244.43318033284424,321.53837225035835,357.6732894425873,387.86053870311474
JFC,0.1553028074759739,0.29386954102715673,28.117472670001856,0.01904351282531125,-0.05607282949040204,-0.0466503367026766,-0.008740180795610453,-0.032262460937600546,0.03449405457366461,0.016396776742018226,0.025806721641618346,0.016273639927768535,0.03349417942942634,-0.014936674238045233,190.35371599902803,193.1485721412422,217.51334532458065,222.8008340512377,207.25000256044262,212.62589553453907,229.5419605836017,231.02253830992856,220.7976126792586,239.01370231679365,220.70566016009482,254.30312479029507,228.62184378039169,234.03819244100794,264.49323942540985
JGS,-0.20203519596760056,0.4059807897569123,10.121147063333844,-0.006482368866631338,-0.021214993947850758,-0.08579503429945334,-0.021593636339369282,0.05720845150086429,-0.0428547499981613,-0.008415178621758002,-0.019211242401411477,-0.0459986665056108,-0.02032276917729159,0.006759835872514719,58.15048621288925,59.876221374890626,59.138169420612904,57.17092053610656,53.6382869792459,50.84333883815625,43.94839868274576,51.89700929942063,48.905196588543106,41.183975393150796,37.593608722939656,39.16566928589344,32.22757907255,26.012857184920634,24.511737705737705
LTG,0.08122765944044916,0.22604147260601895,4.5532239880714265,0.022945433277032024,-0.004198163557928458,0.007226589966366603,0.013159802462060055,-0.004328609627378466,-0.02941629616460595,-0.027765943668923487,0.010030950379948722,0.010433968772077584,0.029942522616182354,0.022290538648818137,8.174805434723398,6.411468898625,6.21832880842742,6.271735652270492,5.825443940565574,6.047409778695313,6.230696960211865,7.566166355682539,7.787380523387931,7.602278975079365,7.470350185508621,8.073786111647541,8.877197884575,9.02759687334127,9.641120790090165
MBT,0.20751978538999818,0.28628730196522134,6.987094316481923,0.048815231205824094,0.009326767007984182,0.06093129297559652,-0.004255496478823284,-0.12244089980710937,0.0019333668616364763,0.01220394703040173,0.03144524444053998,0.03535813272339183,-0.011816759229206442,-0.0026192991961244694,38.70621367610682,36.771316972851565,38.758807132499996,44.99775819764754,43.73715084747541,41.31386498142969,43.53847527516102,48.9635897456508,50.47425585311207,48.68033011719047,46.20529228688793,50.8357647449918,63.409457647158334,65.08197138499207,73.61464072544263
MER,0.2524614768153125,0.288095357186762,13.415240292046883,0.029457372467254772,0.009546108692429889,0.03402538701218916,0.0070161833288626685,-0.07354527010579037,0.023180409633270393,-0.0021150307239043986,0.04276426930782207,0.0622413070275567,-0.0072788377699117834,-0.01715122991313689,226.96167607220897,228.80079219089063,244.1801154283629,276.70673809214753,303.35204670184424,287.1830080305156,254.3829570675254,259.89008878233335,288.7072735022155,309.6801730205238,339.6302614350517,344.7803788068115,343.44127328614167,374.2642773449207,462.2993634399754
